FIR_ID,FIR_Number,Station_ID,District,Incident_Date,FIR_Date,Crime_Head,Crime_Subhead,BNS_Sections,Latitude,Longitude,Complainant_ID,Victim_ID,Accused_ID,Investigating_Officer,Status
FIR202500001,FIR/0001/2025,PS0097,Bengaluru Rural,2025-01-01 02:41,2025-01-01 09:41,NDPS,Drug Trafficking,NDPS Act Sec 20(b),13.10665,77.465923,P005073,P005086,P002638,SI Prakash Sharma,Under Investigation
FIR202500002,FIR/0002/2025,PS0168,Bidar,2025-01-01 03:35,2025-01-01 10:35,Murder,Dowry Homicide,BNS 103(1),17.696767,77.682495,P002052,P004740,P005371,PI Ramesh Gowda,Untraced
FIR202500007,FIR/0007/2025,PS0144,Bengaluru Urban,2025-01-01 13:58,2025-01-01 18:58,Cyber Crime,Identity Theft,"IT Act 66D, BNS 318(4)",12.808727,77.569494,P002344,P004653,P009458,SI Ganesh Rao,Chargesheeted
FIR202500005,FIR/0005/2025,PS0073,Bengaluru Rural,2025-01-01 10:37,2025-01-01 21:37,Assault,Public Affray,"BNS 115(2), BNS 117(2)",13.352637,77.611765,P008782,P001553,P000865,SI Mahesh Bhat,Chargesheeted
FIR202500010,FIR/0010/2025,PS0078,Bengaluru Rural,2025-01-01 22:34,2025-01-02 01:34,Burglary,Day Burglary,"BNS 331(3), BNS 331(4)",13.119692,77.549702,P008809,P001461,P005717,PI Chetan Kumar,Chargesheeted
FIR202500008,FIR/0008/2025,PS0122,Bengaluru Urban,2025-01-01 21:42,2025-01-02 02:42,Vehicle Theft,Two-Wheeler Theft,BNS 303(2),13.104111,77.548958,P007559,P009801,P000998,PI Ramesh Gowda,Under Investigation
FIR202500012,FIR/0012/2025,PS0110,Bengaluru Urban,2025-01-02 07:01,2025-01-02 17:01,Theft,Pocket Pick,BNS 303(2),13.152288,77.621953,P000995,P007487,P000879,SI Mahesh Bhat,Chargesheeted
FIR202500013,FIR/0013/2025,PS0083,Bengaluru Rural,2025-01-02 12:07,2025-01-02 17:07,POCSO,Harassment,"POCSO Act Sec 4, BNS 64",13.242225,77.575192,P007244,P000218,P001332,SI Ravi Kumar,Under Investigation
FIR202500015,FIR/0015/2025,PS0098,Bengaluru Rural,2025-01-03 00:08,2025-01-03 08:08,Murder,Dowry Homicide,BNS 103(1),13.288948,77.732619,P006799,P001988,P006323,SI Ganesh Rao,Chargesheeted
FIR202500014,FIR/0014/2025,PS0095,Bengaluru Rural,2025-01-02 23:58,2025-01-03 08:58,NDPS,Possession of Narcotics,NDPS Act Sec 20(b),13.080279,77.397353,P009397,P009247,P005955,PI Naveen Patil,Chargesheeted
FIR202500018,FIR/0018/2025,PS0081,Bengaluru Rural,2025-01-03 12:41,2025-01-03 17:41,Assault,Public Affray,"BNS 115(2), BNS 117(2)",13.206816,77.590516,P005409,P007739,P008216,PI Lakshmi Devi,Under Investigation
FIR202500022,FIR/0022/2025,PS0013,Bagalkote,2025-01-03 17:10,2025-01-03 19:10,Cyber Crime,Financial Fraud,"IT Act 66D, BNS 318(4)",16.144976,75.663305,P005612,P000031,P000153,SI Ganesh Rao,Untraced
FIR202500017,FIR/0017/2025,PS0142,Bengaluru Urban,2025-01-03 10:48,2025-01-03 20:48,Fraud,Cheating,BNS 318(4),13.108698,77.739084,P001581,P004379,P007049,SI Ravi Kumar,Under Investigation
FIR202500021,FIR/0021/2025,PS0108,Bengaluru Rural,2025-01-03 16:17,2025-01-03 23:17,Burglary,Day Burglary,"BNS 331(3), BNS 331(4)",13.207486,77.454458,P007080,P009028,P000043,PI Harish Naik,Chargesheeted
FIR202500016,FIR/0016/2025,PS0081,Bengaluru Rural,2025-01-03 01:52,2025-01-04 02:52,Fraud,Corporate Fraud,BNS 318(4),13.181439,77.591195,P004128,P009606,P005961,PI Naveen Patil,Under Investigation
FIR202500025,FIR/0025/2025,PS0151,Bengaluru Urban,2025-01-04 02:22,2025-01-04 03:22,Murder,Personal Enmity,BNS 103(1),12.879472,77.463214,P006312,P002062,P001090,PI Harish Naik,Chargesheeted
FIR202500009,FIR/0009/2025,PS0062,Belagavi,2025-01-01 21:50,2025-01-04 03:50,Fraud,Cheating,BNS 318(4),15.75516,74.476633,P009607,P009436,P009085,PI Ramesh Gowda,Chargesheeted
FIR202500003,FIR/0003/2025,PS0038,Ballari,2025-01-01 07:04,2025-01-04 09:04,Cyber Crime,Financial Fraud,"IT Act 66D, BNS 318(4)",15.086909,77.082696,P008174,P002462,P005909,PI Lakshmi Devi,Chargesheeted
FIR202500024,FIR/0024/2025,PS0079,Bengaluru Rural,2025-01-04 01:10,2025-01-04 11:10,Fraud,Land Scam,BNS 318(4),13.093285,77.470095,P007065,P000236,P006914,PI Naveen Patil,Chargesheeted
FIR202500026,FIR/0026/2025,PS0100,Bengaluru Rural,2025-01-04 08:54,2025-01-04 13:54,Vehicle Theft,Car Theft,BNS 303(2),13.127691,77.531881,P004998,P002114,P006216,PI Lakshmi Devi,Chargesheeted
FIR202500020,FIR/0020/2025,PS0230,Chamarajanagar,2025-01-03 14:17,2025-01-05 01:17,Assault,Simple Assault,"BNS 115(2), BNS 117(2)",11.75093,77.061915,P006974,P007193,"P009650, P008803",SI Ganesh Rao,Under Investigation
FIR202500029,FIR/0029/2025,PS0048,Belagavi,2025-01-05 03:02,2025-01-05 10:02,Vehicle Theft,Car Theft,BNS 303(2),15.732095,74.48315,P004688,P009708,P007029,SI Divya Hegde,Untraced
FIR202500023,FIR/0023/2025,PS0248,Chikkaballapura,2025-01-04 00:39,2025-01-05 11:39,Assault,Simple Assault,"BNS 115(2), BNS 117(2)",13.244028,77.799263,P005417,P007081,P006557,SI Prakash Sharma,Chargesheeted
FIR202500004,FIR/0004/2025,PS0134,Bengaluru Urban,2025-01-01 07:22,2025-01-05 12:22,Cyber Crime,Financial Fraud,"IT Act 66D, BNS 318(4)",12.819523,77.66033,P003638,P000246,P002009,SI Divya Hegde,Under Investigation
FIR202500019,FIR/0019/2025,PS0023,Bagalkote,2025-01-03 12:51,2025-01-05 16:51,Fraud,Corporate Fraud,BNS 318(4),16.105672,75.812293,P003020,P004616,P007147,PI Naveen Patil,Chargesheeted
FIR202500035,FIR/0035/2025,PS0200,Chamarajanagar,2025-01-05 14:25,2025-01-05 17:25,Vehicle Theft,Two-Wheeler Theft,BNS 303(2),11.810341,77.024566,P007414,P009824,P004030,SI Divya Hegde,Chargesheeted
FIR202500034,FIR/0034/2025,PS0163,Bidar,2025-01-05 13:29,2025-01-05 19:29,Burglary,Day Burglary,"BNS 331(3), BNS 331(4)",17.952129,77.58509,P008215,P001228,P007013,SI Ganesh Rao,Chargesheeted
FIR202500033,FIR/0033/2025,PS0079,Bengaluru Rural,2025-01-05 11:07,2025-01-05 20:07,Burglary,Day Burglary,"BNS 331(3), BNS 331(4)",13.103257,77.466595,P001651,P000628,"P001128, P004234",SI Mahesh Bhat,Chargesheeted
FIR202500032,FIR/0032/2025,PS0073,Bengaluru Rural,2025-01-05 10:51,2025-01-05 20:51,Vehicle Theft,Car Theft,BNS 303(2),13.331659,77.615616,P004044,P001175,P005306,PI Naveen Patil,Chargesheeted
FIR202500027,FIR/0027/2025,PS0132,Bengaluru Urban,2025-01-04 11:38,2025-01-05 22:38,Cyber Crime,Financial Fraud,"IT Act 66D, BNS 318(4)",13.008041,77.665114,P005769,P001616,P006878,PI Suresh Kulkarni,Chargesheeted
