ChargeSheet_ID,FIR_ID,Accused_ID,Crime_Type,Sections,Investigating_Officer,Court,Witness_Count,Evidence_Count,ChargeSheet_Date,Status
CS202500002,FIR202500852,P008005,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ravi Kumar,Bagalkote District & Sessions Court,4,9,2025-02-02,Accepted
CS202500019,FIR202500486,P001831,Vehicle Theft,BNS 303(2),SI Mahesh Bhat,Chikkaballapura District & Sessions Court,13,26,2025-02-08,Returned for Correction
CS202500043,FIR202502050,P001645,Vehicle Theft,BNS 303(2),SI Ganesh Rao,Ballari District & Sessions Court,11,14,2025-02-16,Pending Scrutiny
CS202500017,FIR202501493,P005623,Assault,"BNS 115(2), BNS 117(2)",SI Divya Hegde,Bidar District & Sessions Court,2,12,2025-02-18,Accepted
CS202500083,FIR202501895,P004512,Assault,"BNS 115(2), BNS 117(2)",PI Suresh Kulkarni,Bagalkote District & Sessions Court,3,6,2025-02-19,Returned for Correction
CS202500095,FIR202500479,P002671,Assault,"BNS 115(2), BNS 117(2)",SI Prakash Sharma,Belagavi District & Sessions Court,5,11,2025-02-19,Filed
CS202500072,FIR202502237,P000589,NDPS,NDPS Act Sec 20(b),SI Divya Hegde,Bengaluru Urban District & Sessions Court,14,18,2025-02-20,Accepted
CS202500094,FIR202503331,P007461,Murder,BNS 103(1),SI Prakash Sharma,Chikkaballapura District & Sessions Court,14,6,2025-02-20,Returned for Correction
CS202500030,FIR202504622,P001264,NDPS,NDPS Act Sec 20(b),SI Ganesh Rao,Bidar District & Sessions Court,7,14,2025-02-21,Accepted
CS202500099,FIR202502682,P003879,Theft,BNS 303(2),SI Mahesh Bhat,Bagalkote District & Sessions Court,15,19,2025-02-21,Pending Scrutiny
CS202500042,FIR202500830,P009974,Fraud,BNS 318(4),SI Ganesh Rao,Chamarajanagar District & Sessions Court,11,12,2025-02-23,Pending Scrutiny
CS202500044,FIR202503849,P003325,POCSO,"POCSO Act Sec 4, BNS 64",PI Naveen Patil,Belagavi District & Sessions Court,6,16,2025-02-23,Returned for Correction
CS202500011,FIR202500903,P007622,Assault,"BNS 115(2), BNS 117(2)",PI Harish Naik,Chamarajanagar District & Sessions Court,15,18,2025-02-25,Filed
CS202500089,FIR202503173,P009828,Murder,BNS 103(1),PI Harish Naik,Bidar District & Sessions Court,8,29,2025-02-26,Filed
CS202500039,FIR202503224,P007369,NDPS,NDPS Act Sec 20(b),SI Divya Hegde,Belagavi District & Sessions Court,14,20,2025-02-27,Filed
CS202500059,FIR202503340,P001579,Assault,"BNS 115(2), BNS 117(2)",PI Harish Naik,Ballari District & Sessions Court,14,30,2025-02-27,Filed
CS202500060,FIR202504980,P004275,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,6,11,2025-02-27,Pending Scrutiny
CS202500104,FIR202501690,P000976,Assault,"BNS 115(2), BNS 117(2)",PI Suresh Kulkarni,Bidar District & Sessions Court,11,11,2025-02-27,Returned for Correction
CS202500032,FIR202501575,P004977,Theft,BNS 303(2),PI Naveen Patil,Belagavi District & Sessions Court,2,5,2025-02-28,Filed
CS202500016,FIR202504610,P006344,POCSO,"POCSO Act Sec 4, BNS 64",PI Harish Naik,Chikkaballapura District & Sessions Court,5,22,2025-03-03,Filed
CS202500117,FIR202501134,P001050,Vehicle Theft,BNS 303(2),SI Prakash Sharma,Chamarajanagar District & Sessions Court,14,28,2025-03-03,Pending Scrutiny
CS202500009,FIR202504550,P005618,Theft,BNS 303(2),PI Lakshmi Devi,Chikkaballapura District & Sessions Court,2,21,2025-03-03,Accepted
CS202500052,FIR202501366,P000198,Murder,BNS 103(1),PI Lakshmi Devi,Bagalkote District & Sessions Court,11,11,2025-03-03,Accepted
CS202500003,FIR202503430,P000662,Fraud,BNS 318(4),SI Ganesh Rao,Bidar District & Sessions Court,18,29,2025-03-03,Pending Scrutiny
CS202500149,FIR202502629,P001088,Theft,BNS 303(2),PI Suresh Kulkarni,Chikkaballapura District & Sessions Court,12,26,2025-03-05,Filed
CS202500057,FIR202501474,P003033,Theft,BNS 303(2),PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,6,22,2025-03-05,Pending Scrutiny
CS202500025,FIR202504534,P000054,Fraud,BNS 318(4),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,6,11,2025-03-05,Filed
CS202500113,FIR202501122,P006904,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Lakshmi Devi,Bengaluru Rural District & Sessions Court,17,18,2025-03-05,Filed
CS202500069,FIR202504286,P008118,Fraud,BNS 318(4),SI Ravi Kumar,Chamarajanagar District & Sessions Court,8,14,2025-03-06,Filed
CS202500079,FIR202504003,P005178,Dacoity,BNS 310(2),PI Naveen Patil,Belagavi District & Sessions Court,13,18,2025-03-07,Returned for Correction
CS202500035,FIR202502347,P004259,Fraud,BNS 318(4),SI Divya Hegde,Bengaluru Urban District & Sessions Court,12,5,2025-03-07,Pending Scrutiny
CS202500001,FIR202500441,P008683,Theft,BNS 303(2),PI Harish Naik,Bengaluru Urban District & Sessions Court,13,7,2025-03-07,Pending Scrutiny
CS202500087,FIR202501720,P002212,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Naveen Patil,Bengaluru Urban District & Sessions Court,4,11,2025-03-08,Returned for Correction
CS202500084,FIR202504408,P004030,Assault,"BNS 115(2), BNS 117(2)",PI Suresh Kulkarni,Bidar District & Sessions Court,10,7,2025-03-08,Accepted
CS202500075,FIR202504792,P007947,Fraud,BNS 318(4),PI Naveen Patil,Bidar District & Sessions Court,3,23,2025-03-08,Pending Scrutiny
CS202500049,FIR202504627,P003210,Assault,"BNS 115(2), BNS 117(2)",SI Ravi Kumar,Bidar District & Sessions Court,12,30,2025-03-08,Filed
CS202500076,FIR202503642,P005537,Theft,BNS 303(2),SI Divya Hegde,Bengaluru Rural District & Sessions Court,13,19,2025-03-09,Accepted
CS202500066,FIR202503491,P008805,Robbery,BNS 309(4),SI Ravi Kumar,Bidar District & Sessions Court,8,30,2025-03-10,Returned for Correction
CS202500061,FIR202501496,P005242,POCSO,"POCSO Act Sec 4, BNS 64",SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,9,28,2025-03-10,Pending Scrutiny
CS202500092,FIR202504135,P009950,Theft,BNS 303(2),SI Mahesh Bhat,Chikkaballapura District & Sessions Court,13,17,2025-03-10,Filed
CS202500167,FIR202501377,P003295,Murder,BNS 103(1),SI Ganesh Rao,Chamarajanagar District & Sessions Court,9,13,2025-03-10,Pending Scrutiny
CS202500190,FIR202503910,P009079,Burglary,"BNS 331(3), BNS 331(4)",PI Naveen Patil,Bidar District & Sessions Court,16,18,2025-03-10,Accepted
CS202500141,FIR202503623,P006699,Assault,"BNS 115(2), BNS 117(2)",PI Ramesh Gowda,Bidar District & Sessions Court,13,13,2025-03-12,Pending Scrutiny
CS202500177,FIR202504791,P000413,Vehicle Theft,BNS 303(2),SI Divya Hegde,Chikkaballapura District & Sessions Court,14,7,2025-03-12,Pending Scrutiny
CS202500004,FIR202504668,P003883,Vehicle Theft,BNS 303(2),PI Chetan Kumar,Bagalkote District & Sessions Court,10,30,2025-03-12,Returned for Correction
CS202500162,FIR202501040,P002746,Dacoity,BNS 310(2),SI Prakash Sharma,Chikkaballapura District & Sessions Court,4,20,2025-03-14,Pending Scrutiny
CS202500034,FIR202500721,P009823,Burglary,"BNS 331(3), BNS 331(4)",SI Divya Hegde,Ballari District & Sessions Court,16,19,2025-03-14,Filed
CS202500005,FIR202501709,P000759,Burglary,"BNS 331(3), BNS 331(4)",SI Divya Hegde,Bidar District & Sessions Court,7,18,2025-03-14,Pending Scrutiny
CS202500125,FIR202500732,P000556,Robbery,BNS 309(4),PI Suresh Kulkarni,Bengaluru Urban District & Sessions Court,13,28,2025-03-16,Filed
CS202500150,FIR202502380,P005424,Robbery,BNS 309(4),SI Ganesh Rao,Bengaluru Urban District & Sessions Court,17,9,2025-03-16,Pending Scrutiny
CS202500160,FIR202500968,P007041,Vehicle Theft,BNS 303(2),SI Ravi Kumar,Bagalkote District & Sessions Court,9,21,2025-03-16,Filed
CS202500040,FIR202500357,P005777,Dacoity,BNS 310(2),PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,8,25,2025-03-16,Filed
CS202500123,FIR202502923,P000360,Burglary,"BNS 331(3), BNS 331(4)",PI Naveen Patil,Chikkaballapura District & Sessions Court,8,20,2025-03-17,Filed
CS202500007,FIR202500834,P000224,Burglary,"BNS 331(3), BNS 331(4)",PI Naveen Patil,Bengaluru Urban District & Sessions Court,2,21,2025-03-17,Accepted
CS202500159,FIR202500234,P000878,Robbery,BNS 309(4),PI Harish Naik,Bengaluru Urban District & Sessions Court,13,28,2025-03-18,Filed
CS202500143,FIR202503760,P000588,Assault,"BNS 115(2), BNS 117(2)",SI Ravi Kumar,Belagavi District & Sessions Court,2,15,2025-03-18,Filed
CS202500026,FIR202503945,P007017,POCSO,"POCSO Act Sec 4, BNS 64",SI Divya Hegde,Bengaluru Urban District & Sessions Court,11,17,2025-03-18,Accepted
CS202500023,FIR202504345,P007033,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ravi Kumar,Bengaluru Rural District & Sessions Court,18,15,2025-03-18,Pending Scrutiny
CS202500006,FIR202501937,P003201,Robbery,BNS 309(4),PI Naveen Patil,Bengaluru Rural District & Sessions Court,13,3,2025-03-18,Filed
CS202500228,FIR202501661,P007189,Vehicle Theft,BNS 303(2),PI Ramesh Gowda,Chamarajanagar District & Sessions Court,12,29,2025-03-19,Filed
CS202500132,FIR202501395,P000030,Theft,BNS 303(2),SI Mahesh Bhat,Chamarajanagar District & Sessions Court,6,12,2025-03-19,Pending Scrutiny
CS202500130,FIR202500842,P005217,Dacoity,BNS 310(2),SI Prakash Sharma,Ballari District & Sessions Court,10,3,2025-03-19,Filed
CS202500056,FIR202504262,P008474,Assault,"BNS 115(2), BNS 117(2)",PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,15,14,2025-03-19,Returned for Correction
CS202500070,FIR202502526,P006112,Burglary,"BNS 331(3), BNS 331(4)",PI Harish Naik,Belagavi District & Sessions Court,16,3,2025-03-20,Pending Scrutiny
CS202500195,FIR202503455,P001271,Robbery,BNS 309(4),PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,7,18,2025-03-20,Accepted
CS202500151,FIR202502992,P000479,NDPS,NDPS Act Sec 20(b),SI Ganesh Rao,Bengaluru Rural District & Sessions Court,8,18,2025-03-20,Filed
CS202500063,FIR202502643,P003332,Fraud,BNS 318(4),PI Chetan Kumar,Bagalkote District & Sessions Court,3,20,2025-03-20,Returned for Correction
CS202500015,FIR202501445,P003089,Dacoity,BNS 310(2),PI Ramesh Gowda,Bagalkote District & Sessions Court,12,14,2025-03-20,Accepted
CS202500208,FIR202500570,P007923,POCSO,"POCSO Act Sec 4, BNS 64",SI Mahesh Bhat,Chikkaballapura District & Sessions Court,18,28,2025-03-20,Accepted
CS202500047,FIR202503752,P001912,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ganesh Rao,Chamarajanagar District & Sessions Court,6,9,2025-03-21,Pending Scrutiny
CS202500024,FIR202501180,P005899,Assault,"BNS 115(2), BNS 117(2)",SI Prakash Sharma,Bidar District & Sessions Court,17,21,2025-03-22,Filed
CS202500253,FIR202503957,P007074,Robbery,BNS 309(4),PI Harish Naik,Bidar District & Sessions Court,6,30,2025-03-22,Accepted
CS202500058,FIR202501195,P006109,Theft,BNS 303(2),PI Suresh Kulkarni,Chamarajanagar District & Sessions Court,8,9,2025-03-22,Pending Scrutiny
CS202500136,FIR202500264,P003790,Theft,BNS 303(2),PI Harish Naik,Chamarajanagar District & Sessions Court,12,4,2025-03-22,Accepted
CS202500107,FIR202501574,P005320,Assault,"BNS 115(2), BNS 117(2)",SI Prakash Sharma,Bidar District & Sessions Court,9,15,2025-03-22,Accepted
CS202500178,FIR202503681,P001090,Vehicle Theft,BNS 303(2),SI Ravi Kumar,Ballari District & Sessions Court,16,12,2025-03-22,Filed
CS202500067,FIR202502148,P001855,Fraud,BNS 318(4),PI Suresh Kulkarni,Chikkaballapura District & Sessions Court,17,14,2025-03-23,Accepted
CS202500153,FIR202501995,P000876,Murder,BNS 103(1),SI Ganesh Rao,Chamarajanagar District & Sessions Court,9,20,2025-03-23,Accepted
CS202500148,FIR202501221,P004373,Theft,BNS 303(2),SI Divya Hegde,Bidar District & Sessions Court,9,22,2025-03-23,Returned for Correction
CS202500065,FIR202504401,P000792,Dacoity,BNS 310(2),PI Naveen Patil,Bengaluru Rural District & Sessions Court,10,24,2025-03-23,Returned for Correction
CS202500139,FIR202501569,P006031,Burglary,"BNS 331(3), BNS 331(4)",PI Chetan Kumar,Bengaluru Rural District & Sessions Court,8,3,2025-03-24,Pending Scrutiny
CS202500184,FIR202504593,P003910,Vehicle Theft,BNS 303(2),PI Ramesh Gowda,Chikkaballapura District & Sessions Court,8,29,2025-03-24,Returned for Correction
CS202500196,FIR202502272,P003859,Vehicle Theft,BNS 303(2),SI Mahesh Bhat,Chamarajanagar District & Sessions Court,3,15,2025-03-24,Accepted
CS202500118,FIR202502424,P009635,Vehicle Theft,BNS 303(2),PI Harish Naik,Bagalkote District & Sessions Court,3,12,2025-03-25,Returned for Correction
CS202500028,FIR202500358,P003910,Robbery,BNS 309(4),PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,10,22,2025-03-25,Returned for Correction
CS202500216,FIR202503736,P001408,Burglary,"BNS 331(3), BNS 331(4)",SI Prakash Sharma,Bengaluru Rural District & Sessions Court,14,7,2025-03-25,Filed
CS202500031,FIR202500522,P008413,Dacoity,BNS 310(2),PI Chetan Kumar,Ballari District & Sessions Court,13,21,2025-03-25,Filed
CS202500038,FIR202504810,P001238,Assault,"BNS 115(2), BNS 117(2)",PI Harish Naik,Bidar District & Sessions Court,16,18,2025-03-25,Filed
CS202500263,FIR202502055,P005785,Murder,BNS 103(1),SI Prakash Sharma,Bengaluru Rural District & Sessions Court,17,16,2025-03-25,Returned for Correction
CS202500097,FIR202502413,P009143,Fraud,BNS 318(4),PI Naveen Patil,Bengaluru Urban District & Sessions Court,7,15,2025-03-25,Returned for Correction
CS202500080,FIR202501452,P008958,Murder,BNS 103(1),PI Lakshmi Devi,Bidar District & Sessions Court,7,27,2025-03-26,Filed
CS202500048,FIR202500891,P002961,Fraud,BNS 318(4),SI Ganesh Rao,Chikkaballapura District & Sessions Court,8,30,2025-03-26,Filed
CS202500200,FIR202504819,P002783,Burglary,"BNS 331(3), BNS 331(4)",PI Harish Naik,Ballari District & Sessions Court,15,21,2025-03-26,Pending Scrutiny
CS202500235,FIR202501865,P002677,Fraud,BNS 318(4),SI Mahesh Bhat,Bagalkote District & Sessions Court,11,23,2025-03-26,Returned for Correction
CS202500050,FIR202501731,P000138,Fraud,BNS 318(4),SI Prakash Sharma,Chikkaballapura District & Sessions Court,9,3,2025-03-27,Accepted
CS202500209,FIR202503895,P008126,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ganesh Rao,Bengaluru Urban District & Sessions Court,16,11,2025-03-27,Filed
CS202500179,FIR202503218,P006286,Assault,"BNS 115(2), BNS 117(2)",PI Ramesh Gowda,Bidar District & Sessions Court,15,11,2025-03-27,Filed
CS202500036,FIR202504313,P004078,Murder,BNS 103(1),SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,12,18,2025-03-27,Pending Scrutiny
CS202500071,FIR202500776,P005864,Fraud,BNS 318(4),SI Prakash Sharma,Belagavi District & Sessions Court,2,30,2025-03-27,Accepted
CS202500051,FIR202503689,P000016,Fraud,BNS 318(4),PI Naveen Patil,Chamarajanagar District & Sessions Court,4,19,2025-03-28,Accepted
CS202500013,FIR202504219,P005131,Vehicle Theft,BNS 303(2),PI Harish Naik,Bagalkote District & Sessions Court,6,16,2025-03-28,Returned for Correction
CS202500121,FIR202501368,P005085,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Mahesh Bhat,Chikkaballapura District & Sessions Court,11,28,2025-03-28,Filed
CS202500012,FIR202502596,P007243,NDPS,NDPS Act Sec 20(b),SI Divya Hegde,Bengaluru Rural District & Sessions Court,7,15,2025-03-28,Accepted
CS202500073,FIR202502275,P004752,Robbery,BNS 309(4),PI Lakshmi Devi,Chamarajanagar District & Sessions Court,13,16,2025-03-29,Filed
CS202500274,FIR202503010,P005793,Vehicle Theft,BNS 303(2),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,12,30,2025-03-29,Returned for Correction
CS202500062,FIR202504570,P004051,Dacoity,BNS 310(2),SI Divya Hegde,Bidar District & Sessions Court,17,4,2025-03-29,Pending Scrutiny
CS202500203,FIR202502097,P005599,NDPS,NDPS Act Sec 20(b),SI Prakash Sharma,Chamarajanagar District & Sessions Court,13,23,2025-03-29,Accepted
CS202500029,FIR202504603,P008582,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Naveen Patil,Bengaluru Urban District & Sessions Court,13,20,2025-03-30,Filed
CS202500078,FIR202501261,P004096,Assault,"BNS 115(2), BNS 117(2)",PI Chetan Kumar,Bidar District & Sessions Court,12,4,2025-03-30,Filed
CS202500276,FIR202504799,P009077,Fraud,BNS 318(4),PI Naveen Patil,Bengaluru Rural District & Sessions Court,11,8,2025-03-30,Filed
CS202500188,FIR202503970,P005337,Murder,BNS 103(1),PI Suresh Kulkarni,Bidar District & Sessions Court,6,19,2025-03-30,Accepted
CS202500064,FIR202504385,P002071,Fraud,BNS 318(4),SI Ravi Kumar,Bengaluru Urban District & Sessions Court,2,28,2025-03-30,Filed
CS202500055,FIR202501756,P005877,POCSO,"POCSO Act Sec 4, BNS 64",SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,2,23,2025-03-30,Filed
CS202500096,FIR202502138,P008611,NDPS,NDPS Act Sec 20(b),PI Lakshmi Devi,Bidar District & Sessions Court,18,25,2025-03-30,Filed
CS202500211,FIR202501608,P006405,Burglary,"BNS 331(3), BNS 331(4)",PI Lakshmi Devi,Belagavi District & Sessions Court,11,10,2025-03-31,Returned for Correction
CS202500126,FIR202501707,P001259,Dacoity,BNS 310(2),SI Mahesh Bhat,Bidar District & Sessions Court,16,10,2025-03-31,Returned for Correction
CS202500033,FIR202503494,P001284,Fraud,BNS 318(4),SI Divya Hegde,Bidar District & Sessions Court,6,27,2025-03-31,Filed
CS202500018,FIR202504815,P008181,Assault,"BNS 115(2), BNS 117(2)",PI Harish Naik,Bengaluru Urban District & Sessions Court,6,4,2025-04-01,Returned for Correction
CS202500224,FIR202503923,P004651,Assault,"BNS 115(2), BNS 117(2)",SI Prakash Sharma,Bidar District & Sessions Court,10,24,2025-04-01,Returned for Correction
CS202500165,FIR202503922,P008491,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Divya Hegde,Chamarajanagar District & Sessions Court,6,12,2025-04-01,Returned for Correction
CS202500100,FIR202500371,P007443,Vehicle Theft,BNS 303(2),SI Ganesh Rao,Bagalkote District & Sessions Court,14,23,2025-04-02,Accepted
CS202500102,FIR202500656,P003048,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ravi Kumar,Bengaluru Rural District & Sessions Court,6,14,2025-04-02,Returned for Correction
