Station_ID,Station_Name,District_ID,District,Zone,Station_Type,Latitude,Longitude,Personnel_Strength,Patrol_Vehicles,Contact_Number,Email
PS0001,Bagalkote East Town Police Station,1,Bagalkote,East,Town Police Station,16.184765,75.575664,130,8,0809897858,ps1@ksp.gov.in
PS0002,Bagalkote North Rural Police Station,1,Bagalkote,North,Rural Police Station,16.111362,75.503891,127,12,0805017343,ps2@ksp.gov.in
PS0003,Bagalkote North Traffic Police Station,1,Bagalkote,North,Traffic Police Station,16.332904,75.87488,56,18,0802161193,ps3@ksp.gov.in
PS0004,Bagalkote Central Traffic Police Station,1,Bagalkote,Central,Traffic Police Station,16.033057,75.686213,175,8,0805446912,ps4@ksp.gov.in
PS0005,Bagalkote Central Rural Police Station,1,Bagalkote,Central,Rural Police Station,16.150955,75.580819,173,25,0804374754,ps5@ksp.gov.in
PS0006,Bagalkote East Cyber Crime Police Station,1,Bagalkote,East,Cyber Crime Police Station,16.37976,75.756051,147,19,0808574680,ps6@ksp.gov.in
PS0007,Bagalkote North Traffic Police Station,1,Bagalkote,North,Traffic Police Station,16.071579,75.631334,176,10,0804694634,ps7@ksp.gov.in
PS0008,Bagalkote North Police Station,1,Bagalkote,North,Police Station,16.264836,75.51965,52,4,0806543670,ps8@ksp.gov.in
PS0009,Bagalkote North Rural Police Station,1,Bagalkote,North,Rural Police Station,16.076902,75.763691,89,20,0803219824,ps9@ksp.gov.in
PS0010,Bagalkote Central Rural Police Station,1,Bagalkote,Central,Rural Police Station,16.170768,75.809948,139,9,0802582524,ps10@ksp.gov.in
PS0011,Bagalkote North Town Police Station,1,Bagalkote,North,Town Police Station,16.15412,75.665531,154,4,0802651177,ps11@ksp.gov.in
PS0012,Bagalkote North Cyber Crime Police Station,1,Bagalkote,North,Cyber Crime Police Station,16.272985,75.816337,62,10,0804214348,ps12@ksp.gov.in
PS0013,Bagalkote South Rural Police Station,1,Bagalkote,South,Rural Police Station,16.161145,75.664853,106,17,0805191056,ps13@ksp.gov.in
PS0014,Bagalkote North Cyber Crime Police Station,1,Bagalkote,North,Cyber Crime Police Station,16.304909,75.838487,60,4,0801247595,ps14@ksp.gov.in
PS0015,Bagalkote North Traffic Police Station,1,Bagalkote,North,Traffic Police Station,16.048224,75.690356,89,15,0801983738,ps15@ksp.gov.in
PS0016,Bagalkote South Cyber Crime Police Station,1,Bagalkote,South,Cyber Crime Police Station,15.982562,75.652269,151,12,0808096887,ps16@ksp.gov.in
PS0017,Bagalkote Central Town Police Station,1,Bagalkote,Central,Town Police Station,16.269063,75.558019,110,9,0801981186,ps17@ksp.gov.in
PS0018,Bagalkote Central Town Police Station,1,Bagalkote,Central,Town Police Station,16.198578,75.79529,49,4,0808999183,ps18@ksp.gov.in
PS0019,Bagalkote Central Rural Police Station,1,Bagalkote,Central,Rural Police Station,16.044673,75.880412,55,8,0802149597,ps19@ksp.gov.in
PS0020,Bagalkote Central Police Station,1,Bagalkote,Central,Police Station,16.251785,75.590182,65,21,0805130808,ps20@ksp.gov.in
PS0021,Bagalkote Central Rural Police Station,1,Bagalkote,Central,Rural Police Station,15.997597,75.528893,179,19,0806307805,ps21@ksp.gov.in
PS0022,Bagalkote East Traffic Police Station,1,Bagalkote,East,Traffic Police Station,16.24959,75.621774,102,15,0803195773,ps22@ksp.gov.in
PS0023,Bagalkote East Cyber Crime Police Station,1,Bagalkote,East,Cyber Crime Police Station,16.108171,75.796846,53,3,0808688755,ps23@ksp.gov.in
PS0024,Bagalkote Central Rural Police Station,1,Bagalkote,Central,Rural Police Station,16.380139,75.525404,89,19,0805449324,ps24@ksp.gov.in
PS0025,Bagalkote South Women Police Station,1,Bagalkote,South,Women Police Station,16.334046,75.847808,129,12,0803646552,ps25@ksp.gov.in
PS0026,Ballari West Rural Police Station,2,Ballari,West,Rural Police Station,15.220816,76.966071,170,3,0806022741,ps26@ksp.gov.in
PS0027,Ballari North Traffic Police Station,2,Ballari,North,Traffic Police Station,15.045186,77.077285,176,7,0805569244,ps27@ksp.gov.in
PS0028,Ballari East Rural Police Station,2,Ballari,East,Rural Police Station,15.023652,76.858552,102,19,0809196204,ps28@ksp.gov.in
PS0029,Ballari East Police Station,2,Ballari,East,Police Station,14.976319,76.89083,105,4,0801059486,ps29@ksp.gov.in
PS0030,Ballari East Traffic Police Station,2,Ballari,East,Traffic Police Station,15.194245,76.826182,148,20,0808175395,ps30@ksp.gov.in
