Date,Forecasted_Crime_Count,Forecast_Day,Day_of_Week
2026-01-01,13.94,1,Thursday
2026-01-02,13.95,2,Friday
2026-01-03,12.16,3,Saturday
2026-01-04,13.45,4,Sunday
2026-01-05,12.23,5,Monday
2026-01-06,11.89,6,Tuesday
2026-01-07,12.58,7,Wednesday
2026-01-08,12.23,8,Thursday
2026-01-09,12.08,9,Friday
2026-01-10,11.56,10,Saturday
2026-01-11,11.29,11,Sunday
2026-01-12,11.12,12,Monday
2026-01-13,11.19,13,Tuesday
2026-01-14,11.22,14,Wednesday
2026-01-15,11.31,15,Thursday
2026-01-16,11.41,16,Friday
2026-01-17,10.84,17,Saturday
2026-01-18,10.77,18,Sunday
2026-01-19,10.66,19,Monday
2026-01-20,10.73,20,Tuesday
2026-01-21,10.84,21,Wednesday
2026-01-22,10.99,22,Thursday
2026-01-23,11.12,23,Friday
2026-01-24,10.61,24,Saturday
2026-01-25,10.56,25,Sunday
2026-01-26,10.48,26,Monday
2026-01-27,10.59,27,Tuesday
2026-01-28,10.73,28,Wednesday
2026-01-29,10.89,29,Thursday
2026-01-30,11.05,30,Friday
