Risk_Rank,Station_ID,Station_Name,District,Zone,Station_Type,FIR_Count,Severity_Load,Hotspot_Count,Personnel_Strength,Patrol_Vehicles,Risk_Score,Risk_Tier,z_Severity,z_FIR,z_Hotspot,z_Personnel_Deficit
1,PS0069,Belagavi South Traffic Police Station,Belagavi,South,Traffic Police Station,31,85.5,3,90,17,83.96,Critical,0.8910256410256411,0.9443208352447978,1.0,0.898329064821948
2,PS0188,Bidar West Cyber Crime Police Station,Bidar,West,Cyber Crime Police Station,27,69.0,2,45,17,78.39,Critical,0.6794871794871795,0.8613531161467861,0.6666666666666666,0.9642403945274213
3,PS0037,Ballari South Cyber Crime Police Station,Ballari,South,Cyber Crime Police Station,28,71.0,3,93,10,76.76,Critical,0.7051282051282052,0.8831565790453322,1.0,0.7777734556480148
4,PS0187,Bidar East Police Station,Bidar,East,Police Station,25,68.0,2,58,22,75.71,Critical,0.6666666666666666,0.8153072441183079,0.6666666666666666,0.9352188214288728
5,PS0038,Ballari South Cyber Crime Police Station,Ballari,South,Cyber Crime Police Station,27,70.5,3,106,14,75.03,Critical,0.6987179487179487,0.8613531161467861,1.0,0.7376654879612732
6,PS0189,Bidar East Rural Police Station,Bidar,East,Rural Police Station,27,75.5,1,50,17,74.11,High,0.7628205128205128,0.8613531161467861,0.3333333333333333,0.9530782510279795
7,PS0170,Bidar West Cyber Crime Police Station,Bidar,West,Cyber Crime Police Station,25,76.5,1,114,13,72.63,High,0.7756410256410257,0.8153072441183079,0.3333333333333333,0.8102028142351254
8,PS0053,Belagavi South Town Police Station,Belagavi,South,Town Police Station,26,73.0,2,98,6,71.63,High,0.7307692307692307,0.8387566283357885,0.6666666666666666,0.8835405651596858
9,PS0190,Bidar East Town Police Station,Bidar,East,Town Police Station,23,68.5,1,45,10,70.47,High,0.6730769230769231,0.7655739135839971,0.3333333333333333,0.9642403945274213
10,PS0047,Belagavi South Cyber Crime Police Station,Belagavi,South,Cyber Crime Police Station,29,87.5,1,117,17,69.94,High,0.9166666666666666,0.904220797437211,0.3333333333333333,0.8484178784618133
11,PS0166,Bidar East Rural Police Station,Bidar,East,Rural Police Station,30,85.5,0,178,22,69.23,High,0.8910256410256411,0.9245942598551552,0.0,0.6673273774422712
12,PS0182,Bidar North Rural Police Station,Bidar,North,Rural Police Station,24,68.5,1,124,14,68.57,High,0.6730769230769231,0.7909380448778324,0.3333333333333333,0.787878527236242
13,PS0014,Bagalkote North Cyber Crime Police Station,Bagalkote,North,Cyber Crime Police Station,27,69.5,1,60,4,68.06,High,0.6858974358974359,0.8613531161467861,0.3333333333333333,0.9563898139061145
14,PS0195,Chamarajanagar East Rural Police Station,Chamarajanagar,East,Rural Police Station,34,79.5,1,67,24,67.37,High,0.8141025641025641,1.0,0.3333333333333333,0.7836304885436035
15,PS0100,Bengaluru Rural West Town Police Station,Bengaluru Rural,West,Town Police Station,27,78.5,2,104,19,66.47,High,0.8012820512820513,0.8613531161467861,0.6666666666666666,0.43911342982844614
16,PS0159,Bidar Central Town Police Station,Bidar,Central,Town Police Station,28,73.5,0,93,16,66.4,High,0.7371794871794872,0.8831565790453322,0.0,0.8570838169327807
17,PS0012,Bagalkote North Cyber Crime Police Station,Bagalkote,North,Cyber Crime Police Station,32,78.0,0,62,10,65.95,High,0.7948717948717948,0.9634403417687959,0.0,0.9527794848355717
18,PS0029,Ballari East Police Station,Ballari,East,Police Station,26,78.5,1,105,4,65.94,High,0.8012820512820513,0.8387566283357885,0.3333333333333333,0.7407507162448688
19,PS0149,Bengaluru Urban South Traffic Police Station,Bengaluru Urban,South,Traffic Police Station,27,67.0,2,176,9,65.93,High,0.6538461538461539,0.8613531161467861,0.6666666666666666,0.5254471803273258
20,PS0004,Bagalkote Central Traffic Police Station,Bagalkote,Central,Traffic Police Station,29,68.5,1,175,8,65.9,High,0.6730769230769231,0.904220797437211,0.3333333333333333,0.7487958923499067
21,PS0186,Bidar East Rural Police Station,Bidar,East,Rural Police Station,26,66.0,0,44,4,65.54,High,0.6410256410256411,0.8387566283357885,0.0,0.9664728232273095
22,PS0035,Ballari North Traffic Police Station,Ballari,North,Traffic Police Station,34,94.0,0,140,24,64.95,High,1.0,1.0,0.0,0.6327677263190261
23,PS0193,Chamarajanagar North Rural Police Station,Chamarajanagar,North,Rural Police Station,27,78.0,1,73,13,64.77,High,0.7948717948717948,0.8613531161467861,0.3333333333333333,0.7584601126499801
24,PS0050,Belagavi South Traffic Police Station,Belagavi,South,Traffic Police Station,32,73.5,1,156,22,64.56,High,0.7371794871794872,0.9634403417687959,0.3333333333333333,0.7763239426082854
25,PS0161,Bidar East Traffic Police Station,Bidar,East,Traffic Police Station,20,55.5,1,58,5,64.33,High,0.5064102564102564,0.6826061944859854,0.3333333333333333,0.9352188214288728
26,PS0165,Bidar West Traffic Police Station,Bidar,West,Traffic Police Station,23,61.0,1,177,14,63.89,High,0.5769230769230769,0.7655739135839971,0.3333333333333333,0.6695598061421597
27,PS0204,Chamarajanagar West Traffic Police Station,Chamarajanagar,West,Traffic Police Station,26,75.5,1,70,11,63.74,High,0.7628205128205128,0.8387566283357885,0.3333333333333333,0.7710453005967918
28,PS0077,Bengaluru Rural West Cyber Crime Police Station,Bengaluru Rural,West,Cyber Crime Police Station,22,58.5,3,117,10,63.32,High,0.5448717948717948,0.739130138344212,1.0,0.3609151478042023
29,PS0171,Bidar North Traffic Police Station,Bidar,North,Traffic Police Station,25,47.5,1,55,11,63.14,High,0.40384615384615385,0.8153072441183079,0.3333333333333333,0.9419161075285378
30,PS0155,Bidar East Cyber Crime Police Station,Bidar,East,Cyber Crime Police Station,24,55.5,1,157,15,62.65,High,0.5064102564102564,0.7909380448778324,0.3333333333333333,0.7142083801399266
31,PS0218,Chamarajanagar East Police Station,Chamarajanagar,East,Police Station,28,73.0,1,61,21,62.61,High,0.7307692307692307,0.8831565790453322,0.3333333333333333,0.8088008644372268
32,PS0057,Belagavi East Cyber Crime Police Station,Belagavi,East,Cyber Crime Police Station,31,79.5,0,104,13,61.96,High,0.8141025641025641,0.9443208352447978,0.0,0.8724491904129892
33,PS0048,Belagavi West Town Police Station,Belagavi,West,Town Police Station,26,71.0,1,78,24,61.55,High,0.7051282051282052,0.8387566283357885,0.3333333333333333,0.9205118143153411
34,PS0019,Bagalkote Central Rural Police Station,Bagalkote,Central,Rural Police Station,24,73.5,0,55,8,60.82,High,0.7371794871794872,0.7909380448778324,0.0,0.9654156365824713
35,PS0168,Bidar East Women Police Station,Bidar,East,Women Police Station,23,75.0,0,179,24,60.68,High,0.7564102564102564,0.7655739135839971,0.0,0.665094948742383
36,PS0073,Bengaluru Rural Central Police Station,Bengaluru Rural,Central,Police Station,20,44.5,3,45,14,60.08,High,0.36538461538461536,0.6826061944859854,1.0,0.794013325169245
37,PS0111,Bengaluru Urban East Rural Police Station,Bengaluru Urban,East,Rural Police Station,28,59.0,1,92,6,59.71,High,0.5512820512820513,0.8831565790453322,0.3333333333333333,0.7828176944090643
38,PS0121,Bengaluru Urban North Cyber Crime Police Station,Bengaluru Urban,North,Cyber Crime Police Station,22,44.5,3,136,23,59.66,High,0.36538461538461536,0.739130138344212,1.0,0.6480045679852966
39,PS0175,Bidar South Traffic Police Station,Bidar,South,Traffic Police Station,18,46.0,1,65,3,59.64,High,0.38461538461538464,0.6204208453129829,0.3333333333333333,0.9195918205296543
40,PS0076,Bengaluru Rural West Traffic Police Station,Bengaluru Rural,West,Traffic Police Station,33,88.5,0,104,22,59.53,High,0.9294871794871795,0.9819890306738137,0.0,0.43911342982844614
41,PS0164,Bidar North Women Police Station,Bidar,North,Women Police Station,26,59.5,0,164,9,59.53,High,0.5576923076923077,0.8387566283357885,0.0,0.6985813792407081
42,PS0169,Bidar North Traffic Police Station,Bidar,North,Traffic Police Station,18,55.0,1,58,19,59.45,High,0.5,0.6204208453129829,0.3333333333333333,0.9352188214288728
43,PS0180,Bidar North Cyber Crime Police Station,Bidar,North,Cyber Crime Police Station,20,55.0,1,137,19,59.36,High,0.5,0.6826061944859854,0.3333333333333333,0.7588569541376935
44,PS0066,Belagavi West Women Police Station,Belagavi,West,Women Police Station,27,74.0,0,99,5,59.31,High,0.7435897435897436,0.8613531161467861,0.0,0.8816920027019031
45,PS0210,Chamarajanagar East Cyber Crime Police Station,Chamarajanagar,East,Cyber Crime Police Station,31,68.0,1,155,17,58.84,High,0.6666666666666666,0.9443208352447978,0.3333333333333333,0.4144649754371287
46,PS0074,Bengaluru Rural West Town Police Station,Bengaluru Rural,West,Town Police Station,24,58.5,2,122,3,58.81,High,0.5448717948717948,0.7909380448778324,0.6666666666666666,0.33083888548718543
47,PS0201,Chamarajanagar West Women Police Station,Chamarajanagar,West,Women Police Station,30,70.0,1,148,22,58.7,High,0.6923076923076923,0.9245942598551552,0.3333333333333333,0.44383041397968914
48,PS0153,Bidar West Rural Police Station,Bidar,West,Rural Police Station,24,61.5,0,149,14,58.65,High,0.5833333333333334,0.7909380448778324,0.0,0.7320678097390333
49,PS0191,Bidar West Rural Police Station,Bidar,West,Rural Police Station,18,52.5,1,130,12,58.55,High,0.46794871794871795,0.6204208453129829,0.3333333333333333,0.7744839550369119
50,PS0174,Bidar North Traffic Police Station,Bidar,North,Traffic Police Station,25,50.5,0,36,9,58.4,High,0.4423076923076923,0.8153072441183079,0.0,0.9843322528264163
51,PS0005,Bagalkote Central Rural Police Station,Bagalkote,Central,Rural Police Station,27,75.5,0,173,25,58.28,High,0.7628205128205128,0.8613531161467861,0.0,0.7524062214204496
52,PS0025,Bagalkote South Women Police Station,Bagalkote,South,Women Police Station,21,59.5,1,129,12,58.16,High,0.5576923076923077,0.7115107053562038,0.3333333333333333,0.8318334609723899
53,PS0160,Bidar West Cyber Crime Police Station,Bidar,West,Cyber Crime Police Station,20,48.0,1,144,13,57.8,High,0.41025641025641024,0.6826061944859854,0.3333333333333333,0.7432299532384751
54,PS0178,Bidar East Rural Police Station,Bidar,East,Rural Police Station,22,60.5,0,141,12,57.58,High,0.5705128205128205,0.739130138344212,0.0,0.7499272393381401
55,PS0163,Bidar Central Rural Police Station,Bidar,Central,Rural Police Station,22,44.0,1,140,14,57.53,High,0.358974358974359,0.739130138344212,0.3333333333333333,0.7521596680380285
56,PS0141,Bengaluru Urban North Town Police Station,Bengaluru Urban,North,Town Police Station,23,52.5,2,178,13,57.38,High,0.46794871794871795,0.7655739135839971,0.6666666666666666,0.5193193109444274
57,PS0130,Bengaluru Urban East Cyber Crime Police Station,Bengaluru Urban,East,Cyber Crime Police Station,18,43.5,3,133,18,57.23,High,0.3525641025641026,0.6204208453129829,1.0,0.6571963720596443
58,PS0027,Ballari North Traffic Police Station,Ballari,North,Traffic Police Station,24,65.5,1,176,7,57.2,High,0.6346153846153846,0.7909380448778324,0.3333333333333333,0.5216995081095879
59,PS0042,Ballari Central Traffic Police Station,Ballari,Central,Traffic Police Station,26,74.0,0,35,19,57.19,High,0.7435897435897436,0.8387566283357885,0.0,0.9567166960965541
60,PS0179,Bidar West Police Station,Bidar,West,Police Station,24,62.5,0,152,25,56.98,High,0.5961538461538461,0.7909380448778324,0.0,0.7253705236393683
61,PS0032,Ballari East Rural Police Station,Ballari,East,Rural Police Station,26,69.5,0,45,12,56.32,High,0.6858974358974359,0.8387566283357885,0.0,0.9258644132605991
62,PS0015,Bagalkote North Traffic Police Station,Bagalkote,North,Traffic Police Station,23,50.5,1,89,15,56.14,High,0.4423076923076923,0.7655739135839971,0.3333333333333333,0.9040400423832448
63,PS0081,Bengaluru Rural South Town Police Station,Bengaluru Rural,South,Town Police Station,27,70.0,1,96,25,56.04,High,0.6923076923076923,0.8613531161467861,0.3333333333333333,0.4872354495356731
64,PS0110,Bengaluru Urban North Police Station,Bengaluru Urban,North,Police Station,26,60.5,1,96,25,56.03,High,0.5705128205128205,0.8387566283357885,0.3333333333333333,0.7705619556432671
65,PS0215,Chamarajanagar North Rural Police Station,Chamarajanagar,North,Rural Police Station,29,75.0,0,82,24,55.91,High,0.7564102564102564,0.904220797437211,0.0,0.7207045488095453
66,PS0095,Bengaluru Rural South Traffic Police Station,Bengaluru Rural,South,Traffic Police Station,22,63.5,1,35,16,55.66,High,0.6089743589743589,0.739130138344212,0.3333333333333333,0.8541658498032787
67,PS0194,Chamarajanagar Central Town Police Station,Chamarajanagar,Central,Town Police Station,26,59.5,1,135,7,55.53,High,0.5576923076923077,0.8387566283357885,0.3333333333333333,0.49836622841587286
