FIR_ID,FIR_Number,Station_ID,District,Incident_Date,FIR_Date,Crime_Head,Crime_Subhead,BNS_Sections,Latitude,Longitude,Complainant_ID,Victim_ID,Accused_ID,Investigating_Officer,Status
FIR202504798,FIR/4798/2025,PS0043,Ballari,2025-01-01 11:28,2025-01-01 13:28,Dacoity,Bank Dacoity,BNS 310(2),14.976731,76.986145,P009292,P006014,P009143,SI Ravi Kumar,Under Investigation
FIR202500441,FIR/0441/2025,PS0118,Bengaluru Urban,2025-01-01 11:12,2025-01-01 14:12,Theft,Pocket Pick,BNS 303(2),12.775239,77.689631,P003735,P004624,P008683,PI Harish Naik,Chargesheeted
FIR202504439,FIR/4439/2025,PS0099,Bengaluru Rural,2025-01-01 15:56,2025-01-01 21:56,Assault,Grievous Hurt,"BNS 115(2), BNS 117(2)",13.282256,77.697033,P004447,P003112,P007477,PI Chetan Kumar,Under Investigation
FIR202504901,FIR/4901/2025,PS0128,Bengaluru Urban,2025-01-01 15:29,2025-01-01 22:29,Fraud,Corporate Fraud,BNS 318(4),13.006856,77.587455,P004453,P009438,P008228,SI Divya Hegde,Under Investigation
FIR202500852,FIR/0852/2025,PS0019,Bagalkote,2025-01-01 05:23,2025-01-02 07:23,Cyber Crime,Financial Fraud,"IT Act 66D, BNS 318(4)",16.060365,75.868275,P008079,P007823,P008005,SI Ravi Kumar,Chargesheeted
FIR202501057,FIR/1057/2025,PS0062,Belagavi,2025-01-02 05:24,2025-01-02 09:24,NDPS,Possession of Narcotics,NDPS Act Sec 20(b),15.754685,74.47443,P003671,P005269,P003794,PI Chetan Kumar,Under Investigation
FIR202503430,FIR/3430/2025,PS0172,Bidar,2025-01-02 07:39,2025-01-02 14:39,Fraud,Corporate Fraud,BNS 318(4),17.940201,77.4924,P009560,P002862,P000662,SI Ganesh Rao,Chargesheeted
FIR202504668,FIR/4668/2025,PS0006,Bagalkote,2025-01-02 08:20,2025-01-02 15:20,Vehicle Theft,Car Theft,BNS 303(2),16.359789,75.770232,P008030,P009503,P003883,PI Chetan Kumar,Chargesheeted
FIR202501709,FIR/1709/2025,PS0166,Bidar,2025-01-02 14:58,2025-01-02 15:58,Burglary,Night House Breaking,"BNS 331(3), BNS 331(4)",17.812833,77.471842,P006243,P007804,P000759,SI Divya Hegde,Chargesheeted
FIR202500152,FIR/0152/2025,PS0175,Bidar,2025-01-02 11:00,2025-01-02 16:00,Burglary,Night House Breaking,"BNS 331(3), BNS 331(4)",18.035222,77.45402,P000894,P004083,P001571,PI Harish Naik,Closed
FIR202501937,FIR/1937/2025,PS0085,Bengaluru Rural,2025-01-01 16:28,2025-01-02 17:28,Robbery,Chain Snatching with Force,BNS 309(4),13.118124,77.427541,P006963,P006466,"P003201, P006685",PI Naveen Patil,Chargesheeted
FIR202501397,FIR/1397/2025,PS0153,Bidar,2025-01-02 16:51,2025-01-02 20:51,Murder,Gang Conflict,BNS 103(1),17.742167,77.351175,P003781,P001769,P009062,SI Ganesh Rao,Under Investigation
FIR202502756,FIR/2756/2025,PS0206,Chamarajanagar,2025-01-02 15:29,2025-01-02 21:29,Burglary,Day Burglary,"BNS 331(3), BNS 331(4)",11.832376,77.122546,P009489,P004123,"P004788, P001990",PI Lakshmi Devi,Untraced
FIR202500192,FIR/0192/2025,PS0088,Bengaluru Rural,2025-01-03 00:09,2025-01-03 01:09,Burglary,Day Burglary,"BNS 331(3), BNS 331(4)",13.050538,77.399674,P004472,P001669,P005554,SI Ganesh Rao,Under Investigation
FIR202500834,FIR/0834/2025,PS0111,Bengaluru Urban,2025-01-03 07:58,2025-01-03 08:58,Burglary,Night House Breaking,"BNS 331(3), BNS 331(4)",12.766961,77.56745,P006304,P001460,P000224,PI Naveen Patil,Chargesheeted
FIR202502900,FIR/2900/2025,PS0049,Belagavi,2025-01-03 00:00,2025-01-03 09:00,Robbery,Highway Robbery,BNS 309(4),15.901519,74.561126,P007443,P003049,P003619,SI Prakash Sharma,Chargesheeted
FIR202504550,FIR/4550/2025,PS0247,Chikkaballapura,2025-01-01 05:16,2025-01-03 10:16,Theft,Pocket Pick,BNS 303(2),13.490879,77.892303,P003449,P000138,P005618,PI Lakshmi Devi,Chargesheeted
FIR202500747,FIR/0747/2025,PS0174,Bidar,2025-01-03 06:10,2025-01-03 13:10,Cyber Crime,Financial Fraud,"IT Act 66D, BNS 318(4)",17.869758,77.577955,P009216,P001343,P009291,SI Ravi Kumar,Chargesheeted
FIR202502957,FIR/2957/2025,PS0089,Bengaluru Rural,2025-01-03 08:52,2025-01-03 15:52,Dacoity,Bank Dacoity,BNS 310(2),13.386629,77.592672,P005138,P002801,P008449,SI Divya Hegde,Untraced
FIR202501237,FIR/1237/2025,PS0054,Belagavi,2025-01-02 12:30,2025-01-03 19:30,Burglary,Day Burglary,"BNS 331(3), BNS 331(4)",15.904452,74.712616,P005751,P001157,P001046,SI Divya Hegde,Under Investigation
FIR202500903,FIR/0903/2025,PS0208,Chamarajanagar,2025-01-03 18:59,2025-01-03 19:59,Assault,Simple Assault,"BNS 115(2), BNS 117(2)",11.814922,77.149282,P007894,P009170,P007622,PI Harish Naik,Chargesheeted
FIR202502596,FIR/2596/2025,PS0086,Bengaluru Rural,2025-01-03 17:34,2025-01-03 21:34,NDPS,Possession of Narcotics,NDPS Act Sec 20(b),13.324409,77.474024,P007102,P008598,P007243,SI Divya Hegde,Chargesheeted
FIR202504219,FIR/4219/2025,PS0006,Bagalkote,2025-01-03 22:11,2025-01-03 23:11,Vehicle Theft,Two-Wheeler Theft,BNS 303(2),16.370127,75.738038,P006045,P009072,P005131,PI Harish Naik,Chargesheeted
FIR202500341,FIR/0341/2025,PS0190,Bidar,2025-01-02 14:37,2025-01-04 01:37,Fraud,Cheating,BNS 318(4),17.749412,77.566026,P004035,P001562,P006648,PI Ramesh Gowda,Under Investigation
FIR202501048,FIR/1048/2025,PS0100,Bengaluru Rural,2025-01-03 18:48,2025-01-04 03:48,Vehicle Theft,Two-Wheeler Theft,BNS 303(2),13.150482,77.544406,P000202,P005016,P005259,SI Ganesh Rao,Under Investigation
